episode,scene,task_description,start,end,frames,verb,object,hand,grip,grasp_loc,angle,source,relation,ref_object,ref_direction,orientation,flip,sub_position,text
2026-04-21-03-38-31-054000,pick_place_diverse,set 2 data collection day 1,2010,2097,87,place,green bowl,left,-,-,-,-,left,red bag of chips,left,none,none,none,Put the green bowl to the left of the red bag of chips with the left hand.
2026-04-21-03-38-31-054000,pick_place_diverse,set 2 data collection day 1,2097,2268,171,pick,white cup,right,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the white cup from the table with the right hand using a diagonal lip grasp on the right side.
2026-04-21-03-38-31-054000,pick_place_diverse,set 2 data collection day 1,2268,2364,96,place,white cup,right,-,-,-,-,behind,pink coffee cup,behind,none,up,none,Place the white cup behind the pink coffee cup with the right hand right side up with the front as the orientation reference point.
2026-04-21-03-38-31-054000,pick_place_diverse,set 2 data collection day 1,2364,2466,102,pick,red bag of chips,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the red bag of chips from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-03-38-31-054000,pick_place_diverse,set 2 data collection day 1,2466,2565,99,place,red bag of chips,left,-,-,-,-,left,pink coffee cup,left,forwards,none,none,Put the red bag of chips to the left of the pink coffee cup with the left hand facing forwards.
2026-04-21-03-38-31-054000,pick_place_diverse,set 2 data collection day 1,2565,2772,207,pick,green bowl,left,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the green bowl from the table with the left hand using a diagonal lip grasp on the right side.
2026-04-21-03-38-31-054000,pick_place_diverse,set 2 data collection day 1,2772,2874,102,place,green bowl,left,-,-,-,-,left,red bag of chips,left,none,none,none,Put the green bowl to the left of the red bag of chips with the left hand.
2026-04-21-03-38-31-054000,pick_place_diverse,set 2 data collection day 1,2874,3000,126,return,-,both,-,-,-,-,-,-,-,-,-,-,Return both arms to home.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,0,105,105,pick,blue marker,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the blue marker from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,105,201,96,place,blue marker,right,-,-,-,-,right,asparagus,right,forwards,none,none,Put the blue marker to the right of the asparagus with the right hand facing forwards with the tip as the reference point.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,201,312,111,pick,gray stuffed toy,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the gray stuffed animal from the table with the right hand using a side grip at the bottom from a diagonal angle.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,312,405,93,place,gray stuffed toy,right,-,-,-,-,right,red marker,right,forwards,none,none,Put the gray stuffed animal to the right of the red marker with the right hand facing forwards front.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,405,531,126,pick,blue screwdriver,left,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the blue screwdriver from the table with the left hand using a side grip at the bottom diagonally.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,531,630,99,place,blue screwdriver,left,-,-,-,-,front,asparagus,front,forwards,none,none,Put the blue screwdriver in front of the asparagus with the left hand with its tip facing forwards.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,630,771,141,pick,red marker,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the red marker from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,771,876,105,place,red marker,right,-,-,-,-,right,gray stuffed toy,right,bottom_right,none,none,Put the red marker to the right of the gray stuffed animal with the right hand with its tip facing bottom right.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,876,1053,177,pick,juice pouch,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the juice pouch from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,1053,1161,108,place,juice pouch,left,-,-,-,-,right,white cup,right,none,up,none,Put the juice pouch to the right of the white cup with the left hand right side up with the front as the orientation reference point.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,1161,1308,147,pick,white cup,left,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the white cup from the table with the left hand at a diagonal angle by the handle.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,1308,1425,117,place,white cup,left,-,-,-,-,left,asparagus,left,backwards,up,none,Put the white cup to the left of the asparagus with the left hand right side up with the front facing backwards.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,1425,1659,234,pick,blue screwdriver,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the blue screwdriver from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,1659,1758,99,place,blue screwdriver,right,-,-,-,-,corner,table,none,forwards,none,none,Put the blue screwdriver on the top right of the table with the right hand facing forwards with the tip as the reference point.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,1758,1911,153,pick,blue marker,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the blue marker from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,1911,2004,93,place,blue marker,right,-,-,-,-,center,,none,top_left,none,none,Place the blue marker to the center of the table with the right hand with its tip facing top left.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,2004,2199,195,pick,juice pouch,left,side,top,diagonal,table,-,-,-,-,-,-,Pick up the juice pouch from the table with the left hand using a side grip at the top with a diagonal angle.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,2199,2325,126,place,juice pouch,left,-,-,-,-,left,gray stuffed toy,left,none,up,none,Put the juice pouch to the left of the gray stuffed animal with the left hand right side up.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,2325,2532,207,pick,juice pouch,right,side,top,diagonal,table,-,-,-,-,-,-,Pick up the juice pouch from the table with the right hand using a side grip at the top from a diagonal angle.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,2532,2613,81,place,juice pouch,right,-,-,-,-,between,asparagus and the blue screwdriver,between,none,up,none,Put the juice pouch in the middle of the asparagus and the blue screwdriver with the right hand right side up.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,2613,2739,126,pick,gray stuffed toy,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the gray stuffed animal from the table with the right hand at a diagonal angle from the middle.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,2739,2850,111,place,gray stuffed toy,right,-,-,-,-,right,blue marker,right,forwards,none,none,Place the gray stuffed animal to the right of the blue marker with the right hand facing forwards.
2026-04-21-03-41-00-325000,pick_place_diverse,set 2 data collection day 1,2850,3000,150,pick,blue marker,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the blue marker from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,0,147,147,pick,white mug,left,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the white mug from the table with the left hand at a diagonal angle by the handle.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,147,243,96,place,white mug,left,-,-,-,-,front,blue marker bottom left,front,none,none,none,Put the white mug in front of the blue marker bottom left with the left hand.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,243,432,189,pick,gray stuffed toy,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the gray stuffed animal from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,432,519,87,place,gray stuffed toy,right,-,-,-,-,right,white mug,right,backwards,none,none,Put the gray stuffed animal to the right of the white mug with the right hand facing backwards relative to the front.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,519,648,129,pick,white mug,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the white mug from the table with the left hand using a diagonal lip grasp on the left.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,648,747,99,place,white mug,left,-,-,-,-,between,gray stuffed toy and the red marker,between,bottom_right,none,none,Put the white mug between the gray stuffed animal and the red marker with the handle facing bottom right using the left hand.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,747,972,225,pick,blue marker,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the blue marker from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,972,1068,96,place,blue marker,left,-,-,-,-,left,gray stuffed toy,left,forwards,none,none,Place the blue marker to the left of the gray stuffed animal with the left hand facing forwards with the tip facing forwards.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,1068,1269,201,pick,red marker,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the red marker from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,1269,1395,126,place,red marker,right,-,-,-,-,behind,blue marker,behind,backwards,none,none,Put the red marker behind the blue marker with the right hand facing backwards with the tip as the orientation reference point.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,1395,1563,168,pick,white mug,right,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the white mug from the table with the right hand using a diagonal lip grasp on the right side.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,1563,1635,72,place,white mug,right,-,-,-,-,front,blue screwdriver,front,backwards,up,none,Place the white mug in front of the blue screwdriver with the handle facing backwards right side up using the right arm.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,1635,1728,93,pick,gray stuffed toy,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the gray stuffed animal from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,1728,1812,84,place,gray stuffed toy,right,-,-,-,-,inside,white mug,inside,bottom_right,none,none,Place the gray stuffed animal inside the white mug with the right hand facing bottom right from the front.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,1812,2031,219,pick,juice pouch,right,side,top,diagonal,table,-,-,-,-,-,-,Pick up the juice pouch from the table with the right hand using a side grasp at the top with a diagonal pick angle.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,2031,2190,159,place,juice pouch,right,-,-,-,-,front,asparagus,front,none,up,none,Put the juice pouch in front of the asparagus with the right hand right side up.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,2190,2340,150,pick,blue screwdriver,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the blue screwdriver from the table with the right hand using a side grip at the bottom from a diagonal angle.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,2340,2469,129,place,blue screwdriver,right,-,-,-,-,between,juice pouch and the white mug,between,top_right,none,none,Put the blue screwdriver between the juice pouch and the white mug with the right hand facing top right with the tip as the reference point.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,2469,2637,168,pick,red marker,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the red marker from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,2637,2745,108,place,red marker,left,-,-,-,-,left,blue marker,left,backwards,none,none,Place the red marker to the left of the blue marker with the left hand facing backwards with the tip as the orientation reference point.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,2745,2901,156,pick,juice pouch,right,side,top,diagonal,table,-,-,-,-,-,-,Pick up the juice pouch from the table with the right hand using a side grasp at the top from a diagonal angle.
2026-04-21-03-48-00-324000,pick_place_diverse,set 2 data collection day 1,2901,3000,99,place,juice pouch,right,-,-,-,-,behind,white mug,behind,none,up,none,Place the juice pouch behind the white mug with the right hand right side up with the front as the reference point.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,0,132,132,pick,asparagus,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the asparagus from the table with the right hand using a side grip at the bottom with a diagonal pick angle.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,132,228,96,place,asparagus,right,-,-,-,-,center,,none,forwards,none,none,Put the asparagus to the center of the table with the right hand facing forwards with the tip as the orientation reference point.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,228,414,186,pick,white cup,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the white cup from the table by the handle at a diagonal angle with the right hand.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,414,555,141,place,white cup,right,-,-,-,-,behind,blue screwdriver,behind,backwards,up,none,Put the white cup behind the blue screwdriver with the right hand right side up with the front facing backwards.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,555,696,141,pick,red marker,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the red marker from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,696,786,90,place,red marker,left,-,-,-,-,behind,blue marker,behind,backwards,none,none,Place the red marker behind the blue marker with the left hand facing backwards with the tip as the reference point.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,786,984,198,pick,asparagus,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the asparagus from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,983,1143,160,place,asparagus,right,-,-,-,-,front,juice pouch,front,top_left,none,none,Put the asparagus in front of the juice pouch with the right hand with the tip facing top left.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,1143,1311,168,pick,red marker,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the red marker from the taable with the left hand at a diagonal angle grasping the middle.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,1311,1413,102,place,red marker,left,-,-,-,-,center,,none,bottom_right,none,none,Put the red marker to the center of the table with the left hand with its tip facing bottom right.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,1413,1584,171,pick,juice pouch,right,side,top,diagonal,table,-,-,-,-,-,-,Pick up the juice pouch from the table with the right hand using a side grip at the top and a diagonal pick angle.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,1584,1704,120,place,juice pouch,right,-,-,-,-,table,,none,none,up,none,Put the juice pouch right side up with the front facing the top side of the table using the right hand.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,1704,1857,153,pick,asparagus,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the asparagus from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,1857,1935,78,place,asparagus,right,-,-,-,-,right,white cup,right,top_right,none,none,Put the asparagus to the right of the white cup with the right hand with its tip facing top right.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,1935,2079,144,pick,blue screwdriver,right,side,top,diagonal,table,-,-,-,-,-,-,Pick up the blue screwdriver from the table with the right hand using a side grip at the top with a diagonal angle.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,2079,2157,78,place,blue screwdriver,right,-,-,-,-,front,asparagus,front,forwards,none,none,Put the blue screwdriver in front of the asparagus with the right hand facing forwards with the tip facing forwards.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,2157,2301,144,pick,blue marker,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the blue marker from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,2301,2397,96,place,blue marker,left,-,-,-,-,left,juice pouch,left,forwards,none,none,Place the blue marker to the left of the juice pouch with the left hand facing forwards with the tip as the reference point.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,2397,2571,174,pick,red marker,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the red marker from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,2571,2667,96,place,red marker,right,-,-,-,-,front,white cup,front,bottom_right,none,none,Put the red marker in front of the white cup with the right hand facing bottom right with the tip as the reference point.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,2667,2886,219,pick,blue marker,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the blue marker from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-03-50-57-718000,pick_place_diverse,set 2 data collection day 1,2886,3000,114,place,blue marker,left,-,-,-,-,left,red marker,left,right,none,none,Put the blue marker to the left of the red marker with the left hand with the tip facing right.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,0,150,150,pick,beige bowl,right,lip,none,diagonal,table,-,-,-,-,-,-,Pick up the beige bowl from the table with the right hand at a diagonal angle using a lip grip.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,150,288,138,place,beige bowl,right,-,-,-,-,front,white cup,front,none,up,none,Put the beige bowl in front of the white cup with the right hand right side up.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,288,471,183,pick,corn,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the corn from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,471,564,93,place,corn,left,-,-,-,-,left,yogurt,left,backwards,none,none,Put the corn to the left of the yogurt with the left hand facing backwards.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,564,771,207,pick,beige bowl,right,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the beige bowl from the table with the right hand using a diagonal lip grasp at the right side.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,771,894,123,place,beige bowl,right,-,-,-,-,front,yogurt,front,none,up,none,Put the beige bowl in front of the yogurt with the right hand right side up with the front as the orientation reference.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,894,1035,141,pick,green mug,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the green mug from the table with the right hand at a diagonal angle by the handle.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,1035,1134,99,place,green mug,right,-,-,-,-,right,beige bowl,right,backwards,up,none,Put the green mug to the right of the beige bowl with the handle facing backwards right side up using the right arm.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,1134,1317,183,pick,corn,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the corn from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,1317,1425,108,place,corn,left,-,-,-,-,inside,beige bowl,inside,bottom_left,none,none,Put the corn inside the beige bowl with the left hand facing bottom left.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,1425,1734,309,pick,yogurt,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the yogurt from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,1734,1887,153,place,yogurt,left,-,-,-,-,left,beige bowl,left,none,up,none,Put the yogurt to the left of the beige bowl with the left hand right side up with the front as the reference point.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,2004,2118,114,pick,white cup,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the white cup from the table with the right hand at a diagonal angle by the handle.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,2118,2232,114,place,white cup,right,-,-,-,-,right,green mug,right,backwards,up,none,Put the white cup to the right of the green mug with the handle facing backwards right side up using the right hand.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,2232,2415,183,pick,yogurt,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the yogurt from the table with the left hand at a diagonal angle grasping the middle.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,2415,2538,123,place,yogurt,left,-,-,-,-,behind,beige bowl,behind,none,up,none,Put the yogurt behind the beige bowl with the left hand right side up.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,2538,2610,72,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,2610,2862,252,pick,yogurt,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the yogurt from the table with the right hand at a diagonal angle gripping the middle.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,2862,2970,108,place,yogurt,right,-,-,-,-,behind,green mug,behind,none,up,none,Put the yogurt behind the green mug with the right hand right side up with the front as the orientation reference point.
2026-04-21-04-08-55-290000,pick_place_diverse,set 2 data collection day 1,2970,3000,30,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right hand.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,0,180,180,pick,white cup,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the white cup from the table with the left hand using a lip grip at the left side diagonally.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,297,513,216,pick,brown stuffed toy,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the brown stuffed animal from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,513,636,123,place,brown stuffed toy,right,-,-,-,-,inside,green mug,inside,none,none,none,Put the brown stuffed animal inside the green mug with the right hand.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,636,774,138,pick,green mug,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the green mug from the table with the right hand at a diagonal angle by the handle.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,774,942,168,place,green mug,right,-,-,-,-,behind,corn,behind,backwards,up,none,Put the green mug behind the corn with the handle facing backwards right side up using the right hand.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,942,1116,174,pick,yogurt,left,side,top,diagonal,table,-,-,-,-,-,-,Pick up the yogurt from the table with the left hand using a side grip at the top from a diagonal angle.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,1116,1200,84,place,yogurt,left,-,-,-,-,inside,beige bowl,inside,none,down,none,Put the yogurt inside the beige bowl upside down with the front as the reference point using the left hand.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,1200,1389,189,pick,white cup,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the white cup from the table with the left hand using a diagonal lip grasp on the left side.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,1389,1509,120,place,white cup,left,-,-,-,-,left,beige bowl,left,bottom_left,up,none,Put the white cup to the left of the beige bowl with the handle facing bottom left right side up with the left hand.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,1509,1680,171,pick,corn,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the corn from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,1680,1779,99,place,corn,right,-,-,-,-,right,beige bowl,right,backwards,none,none,Put the corn to the right of the beige bowl with the right hand facing backwards by the tip.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,1779,1950,171,pick,green mug,right,handle,handle,side,table,-,-,-,-,-,-,Pick up the green mug from the table with the right hand from the side by the handle.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,1950,2049,99,place,green mug,right,-,-,-,-,right,corn,right,backwards,up,none,Put the green mug to the right of the corn with the right hand right side up with the front facing backwards.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,2049,2202,153,pick,beige bowl,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the beige bowl from the table with the left hand using a diagonal lip grasp on the left side.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,2202,2313,111,place,beige bowl,left,-,-,-,-,behind,white cup,behind,none,up,none,Put the beige bowl behind the white cup right side up with the front as the reference using the left hand.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,2313,2529,216,pick,corn,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the corn from the table with the right hand using a side grip at the bottom from a diagonal angle.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,2529,2658,129,place,corn,right,-,-,-,-,right,green mug,right,bottom_right,none,none,Put the corn to the right of the green mug with the right hand facing bottom right from the tip.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,2658,2703,45,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right hand.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,2703,2853,150,pick,white cup,left,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the white cup from the table with the left hand using a lip grip at the right side with a diagonal angle.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,2853,2922,69,place,white cup,left,-,-,-,-,front,beige bowl,front,backwards,up,none,Put the white cup in front of the beige bowl with the left hand right side up with the front facing backwards.
2026-04-21-04-17-23-858000,pick_place_diverse,set 2 data collection day 1,2922,3000,78,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-04-21-04-19-41-976000,pick_place_diverse,set 2 data collection day 1,0,135,135,pick,beige bowl,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the beige bowl from the table with the left hand using a diagonal lip grasp on the left side.
2026-04-21-04-19-41-976000,pick_place_diverse,set 2 data collection day 1,135,237,102,place,beige bowl,left,-,-,-,-,right,white coffee cup,right,none,none,none,Put the beige bowl to the right of the white coffee cup with the left hand.
2026-04-21-04-19-41-976000,pick_place_diverse,set 2 data collection day 1,237,390,153,pick,white coffee cup,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the white coffee cup from the table with the left hand using a lip grasp at the left side with a diagonal angle.
2026-04-21-04-19-41-976000,pick_place_diverse,set 2 data collection day 1,390,552,162,place,white coffee cup,left,-,-,-,-,behind,beige bowl,behind,backwards,up,none,Put the white coffee cup behind the beige bowl with handle facing backwards right side up with the left hand.
2026-04-21-04-19-41-976000,pick_place_diverse,set 2 data collection day 1,552,774,222,pick,green coffee cup,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the green coffee cup from the table with the right hand using a diagonal grasp at the handle.
2026-04-21-04-19-41-976000,pick_place_diverse,set 2 data collection day 1,774,882,108,place,green coffee cup,right,-,-,-,-,left,beige bowl,left,none,up,none,Put the green coffee cup to the left of the beige bowl with the right hand right side up with the front as the reference point.
2026-04-21-04-19-41-976000,pick_place_diverse,set 2 data collection day 1,882,1056,174,pick,corn,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the corn from the table with the right hand at a diagonal angle grasping the middle.
2026-04-21-04-19-41-976000,pick_place_diverse,set 2 data collection day 1,1056,1329,273,place,corn,right,-,-,-,-,behind,green coffee cup,behind,bottom_right,none,none,Put the corn behind the green coffee cup with the right hand facing bottom right from the tip.
2026-04-21-04-19-41-976000,pick_place_diverse,set 2 data collection day 1,1329,1698,369,pick,white coffee cup,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the white coffee cup from the table with the left hand using a diagonal lip grasp at the left.
2026-04-21-04-19-41-976000,pick_place_diverse,set 2 data collection day 1,1698,1815,117,place,white coffee cup,left,-,-,-,-,left,beige bowl,left,backwards,up,none,Put the white coffee cup to the left of the beige bowl with the left hand right side up with the front facing backwards.
